,Answer,Problem,group_number,Class,SD,AvgPSAR,AvgPSS,AvgPSNS,PSDAR,PSDS,PSDNS,AvgCS,AvgB,AvgPS,AvgConf,AvgDiff,cluster,pred,probas
47,12 miles,ThreeRobots,7,0,0.0,0.06666666666666668,0.0,0.06666666666666668,-0.06666666666666668,0.0,-0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0,0,0.012165005327525532
48,1 mile,ThreeRobots,8,0,0.03333333333333333,0.095,0.2,0.0913793103448276,-0.061666666666666675,-0.16666666666666669,-0.058045977011494276,0.4115561857497341,0.01337962962962963,0.25,0.1,1.0,0,0,0.05415617323096383
49,2 miles,ThreeRobots,8,0,0.16666666666666666,0.08333333333333333,0.19,0.062,0.08333333333333333,-0.023333333333333345,0.10466666666666666,0.3103971589836375,0.009851851851851851,0.22000000000000006,0.16,0.76,0,0,0.10385361900681873
50,3 miles,ThreeRobots,8,0,0.26666666666666666,0.115,0.20625,0.08181818181818183,0.15166666666666667,0.060416666666666674,0.1848484848484848,0.33041345189814675,0.017771990740740734,0.275,0.2375,0.7749999999999999,0,0,0.2233346945842302
51,4 miles,ThreeRobots,8,0,0.0,0.11833333333333335,0.0,0.11833333333333335,-0.11833333333333335,0.0,-0.11833333333333335,0.0,0.0,0.0,0.0,0.0,0,0,0.01068865061434563
52,5 miles,ThreeRobots,8,0,0.16666666666666666,0.14,0.41,0.08600000000000002,0.026666666666666644,-0.2433333333333333,0.08066666666666664,0.593860632027515,0.03568518518518519,0.41,0.32,0.78,0,0,0.08842252882568191
53,6 miles,ThreeRobots,8,0,0.13333333333333333,0.09666666666666668,0.225,0.07692307692307693,0.03666666666666665,-0.09166666666666667,0.0564102564102564,0.2959220824350431,0.009212962962962964,0.15,0.2,0.875,0,0,0.06488718852411313
54,7 miles,ThreeRobots,8,0,0.0,0.03833333333333334,0.0,0.03833333333333334,-0.03833333333333334,0.0,-0.03833333333333334,0.0,0.0,0.0,0.0,0.0,0,0,0.012599378186392854
55,8 miles,ThreeRobots,8,0,0.06666666666666668,0.05500000000000002,0.1,0.05178571428571429,0.011666666666666652,-0.03333333333333334,0.014880952380952375,0.3477287109175654,0.00976851851851852,0.125,0.2,0.9,0,0,0.08379137626138017
56,9 miles,ThreeRobots,8,0,0.03333333333333333,0.05,0.25,0.04310344827586208,-0.01666666666666667,-0.21666666666666667,-0.009770114942528746,0.5529777128242601,0.019351851851851853,0.4,0.2,0.9,0,0,0.05164240361289725
57,10 miles,ThreeRobots,8,1,0.13333333333333333,0.11333333333333333,0.5375,0.04807692307692309,0.020000000000000014,-0.4041666666666667,0.08525641025641023,0.6035958162988947,0.032511574074074075,0.525,0.5499999999999999,0.625,0,0,0.1485380227607956
58,11 miles,ThreeRobots,8,0,0.0,0.04166666666666667,0.0,0.04166666666666667,-0.04166666666666667,0.0,-0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0,0,0.01251777086049064
59,12 miles,ThreeRobots,8,0,0.0,0.053333333333333344,0.0,0.053333333333333344,-0.053333333333333344,0.0,-0.053333333333333344,0.0,0.0,0.0,0.0,0.0,0,0,0.01222928246556387
60,1 mile,ThreeRobots,9,0,0.029411764705882356,0.06911764705882352,0.6,0.05303030303030304,-0.03970588235294117,-0.5705882352941176,-0.023618538324420686,0.5930868469022177,0.03685265282583622,0.6,0.6,0.4,0,0,0.08421446160476562
61,2 miles,ThreeRobots,9,0,0.029411764705882356,0.06764705882352941,0.55,0.05303030303030303,-0.038235294117647055,-0.5205882352941177,-0.023618538324420683,0.7007175388366327,0.03619088811995387,0.7,0.6,0.7,0,0,0.10009829399261264
62,3 miles,ThreeRobots,9,0,0.08823529411764706,0.08029411764705881,0.26666666666666666,0.06225806451612902,0.007941176470588257,-0.17843137254901958,0.025977229601518038,0.3623682535549671,0.015978469819300272,0.18333333333333332,0.20000000000000004,0.8333333333333334,0,0,0.06233876871870149
63,4 miles,ThreeRobots,9,0,0.08823529411764706,0.06764705882352941,0.16666666666666666,0.058064516129032274,0.020588235294117657,-0.07843137254901959,0.0301707779886148,0.20139358201333796,0.00728565936178393,0.3666666666666667,0.16666666666666666,1.0,0,0,0.04932603597177343
64,5 miles,ThreeRobots,9,0,0.05882352941176471,0.1073529411764706,0.25,0.0984375,-0.04852941176470589,-0.19117647058823528,-0.039613970588235306,0.4845945531427411,0.021932309688581314,0.35,0.2,0.8,0,0,0.025698340313797207
65,6 miles,ThreeRobots,9,0,0.08823529411764706,0.08294117647058823,0.03333333333333333,0.08774193548387096,0.005294117647058838,0.05490196078431373,0.0004933586337761003,0.3758783626040727,0.011170463283352557,0.13333333333333333,0.43333333333333335,0.4666666666666667,0,0,0.06921853666878346
66,7 miles,ThreeRobots,9,0,0.14705882352941174,0.09705882352941177,0.24,0.07241379310344828,0.05000000000000002,-0.09294117647058822,0.07464503042596349,0.2492153151420107,0.009083044982698964,0.13000000000000006,0.31999999999999995,0.98,0,0,0.09154860677780208
67,8 miles,ThreeRobots,9,0,0.05882352941176471,0.09176470588235294,0.25,0.081875,-0.03294117647058824,-0.19117647058823528,-0.023051470588235298,0.2408464616115725,0.00907079008073818,0.15,0.4,0.9,0,0,0.03728655423574488
68,9 miles,ThreeRobots,9,0,0.1176470588235294,0.08411764705882352,0.2375,0.06366666666666668,0.03352941176470589,-0.1198529411764706,0.05398039215686273,0.2584535314034271,0.007128388119953866,0.125,0.2,0.925,0,0,0.08431497032037114
69,10 miles,ThreeRobots,9,1,0.2647058823529412,0.15999999999999998,0.4155555555555556,0.068,0.1047058823529412,-0.1508496732026144,0.1967058823529412,0.34253898335226635,0.014017467640651031,0.43333333333333335,0.588888888888889,0.7555555555555556,0,0,0.4967559348936896
70,11 miles,ThreeRobots,9,0,0.029411764705882356,0.039117647058823535,0.1,0.03727272727272727,-0.00970588235294118,-0.07058823529411765,-0.007860962566844917,0.11228858901731244,0.0030291234140715113,0.1,0.1,1.0,0,0,0.022707397620833604
71,12 miles,ThreeRobots,9,0,0.0,0.05,0.0,0.05,-0.05,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0,0,0.01231707452169346
72,50Kg,Apple,10,1,0.26666666666666666,0.22333333333333324,0.51875,0.11590909090909095,0.04333333333333342,-0.2520833333333334,0.1507575757575757,0.1851035567659286,0.050850694444444455,0.65,0.8125,0.575,0,1,0.5677000224628909
73,75Kg,Apple,10,0,0.16666666666666666,0.1683333333333333,0.4,0.122,-0.0016666666666666494,-0.23333333333333334,0.04466666666666665,0.15024380512215346,0.04227777777777777,0.4900000000000001,0.7200000000000001,0.6,0,0,0.14157198291376874
74,98Kg,Apple,10,0,0.2333333333333333,0.3533333333333333,0.5928571428571429,0.28043478260869564,-0.11999999999999995,-0.3595238095238095,-0.04710144927536231,0.25247472625775025,0.07140873015873014,0.6071428571428571,0.8571428571428573,0.4571428571428571,0,0,0.19634169801645465
75,99Kg,Apple,10,0,0.3333333333333333,0.2550000000000001,0.4199999999999999,0.1725,0.07833333333333325,-0.08666666666666661,0.16083333333333333,0.15281295402902828,0.03631944444444445,0.6649999999999999,0.79,0.5599999999999999,0,1,0.6590200799275857
76,50Kg,Apple,11,1,0.2333333333333333,0.11166666666666666,0.22142857142857145,0.0782608695652174,0.12166666666666667,0.01190476190476189,0.15507246376811595,0.1609611056983716,0.04470238095238095,0.27142857142857146,0.7857142857142858,0.5857142857142857,0,0,0.4151857741622854
77,75Kg,Apple,11,0,0.03333333333333333,0.12666666666666665,0.3,0.1206896551724138,-0.09333333333333332,-0.26666666666666666,-0.08735632183908046,0.18666666666666665,0.04125,0.4,0.3,0.4,0,0,0.01708379947561043
78,98Kg,Apple,11,0,0.2333333333333333,0.37666666666666665,0.6285714285714287,0.3,-0.1433333333333333,-0.3952380952380953,-0.06666666666666665,0.307168842540736,0.09458333333333337,0.6928571428571428,0.7428571428571429,0.5714285714285715,0,0,0.17798772744399108
79,99Kg,Apple,11,0,0.5,0.385,0.51,0.26,0.11500000000000005,-0.010000000000000007,0.24,0.13803291207458246,0.027416666666666662,0.6133333333333333,0.7066666666666668,0.4733333333333333,0,0,0.4351780181593112
80,50Kg,Apple,12,1,0.2631578947368421,0.18684210526315792,0.445,0.09464285714285714,0.07631578947368417,-0.18184210526315792,0.16851503759398495,0.1743888556180206,0.049389889196675904,0.495,0.73,0.55,0,0,0.34787972514842674
81,75Kg,Apple,12,0,0.05263157894736842,0.0973684210526316,0.275,0.08750000000000001,-0.04473684210526317,-0.2223684210526316,-0.03486842105263159,0.10588155595937904,0.02164646814404432,0.575,0.45,0.6000000000000001,0,0,0.030724514425524884
82,98Kg,Apple,12,0,0.2631578947368421,0.3750000000000001,0.6100000000000001,0.2910714285714286,-0.11184210526315796,-0.346842105263158,-0.0279135338345865,0.2911564747047527,0.08478462603878116,0.62,0.67,0.53,0,0,0.17174566001013164
83,99Kg,Apple,12,0,0.42105263157894735,0.3407894736842105,0.49375,0.2295454545454545,0.08026315789473681,-0.07269736842105262,0.19150717703349285,0.18852547507091305,0.05005518524930748,0.61875,0.71875,0.43125,0,0,0.43849299401294156
84,80,Bakery,13,0,0.6333333333333333,0.4516666666666667,0.6052631578947368,0.18636363636363634,0.1816666666666666,0.028070175438596467,0.44696969696969696,0.2269788129276986,0.01870593149540518,0.7631578947368421,0.9210526315789472,0.3684210526315789,0,1,0.7642339995525885
85,90,Bakery,13,0,0.0,0.07866666666666666,0.0,0.07866666666666666,-0.07866666666666666,0.0,-0.07866666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0.011579825679163824
86,100,Bakery,13,1,0.2,0.16033333333333333,0.5333333333333333,0.06708333333333334,0.03966666666666668,-0.3333333333333333,0.13291666666666668,0.31971268495050803,0.052301587301587286,0.6449999999999999,0.9,0.3833333333333333,0,0,0.23493107366660534
87,200,Bakery,13,0,0.0,0.043333333333333335,0.0,0.043333333333333335,-0.043333333333333335,0.0,-0.043333333333333335,0.0,0.0,0.0,0.0,0.0,0,0,0.011456620364739382
88,300,Bakery,13,0,0.1,0.13033333333333333,0.9333333333333332,0.04111111111111111,-0.030333333333333323,-0.8333333333333333,0.058888888888888886,0.8195286195286196,0.16531746031746036,0.9333333333333332,0.9333333333333332,0.26666666666666666,0,0,0.09655189737689626
89,400,Bakery,13,0,0.0,0.05366666666666667,0.0,0.05366666666666667,-0.05366666666666667,0.0,-0.05366666666666667,0.0,0.0,0.0,0.0,0.0,0,0,0.012240192289215015
90,500,Bakery,13,0,0.06666666666666668,0.08199999999999999,0.775,0.0325,-0.015333333333333326,-0.7083333333333334,0.034166666666666665,0.6314053121430829,0.12043650793650795,0.875,0.95,0.35,0,0,0.061208696489368185
98,80,Bakery,15,0,0.5483870967741935,0.4838709677419355,0.7205882352941175,0.1964285714285714,0.06451612903225801,-0.17220113851992402,0.3519585253456221,0.2559011170353985,0.03084580137986517,0.7488235294117648,0.9294117647058824,0.29411764705882354,0,1,0.5432336127817543
99,90,Bakery,15,0,0.0,0.13161290322580646,0.0,0.13161290322580646,-0.13161290322580646,0.0,-0.13161290322580646,0.0,0.0,0.0,0.0,0.0,0,0,0.009936242201816142
100,100,Bakery,15,1,0.3870967741935484,0.27838709677419365,0.54,0.1131578947368421,0.10870967741935472,-0.15290322580645166,0.27393887945670625,0.2934777096525735,0.04219588722065309,0.5733333333333334,0.8750000000000001,0.25833333333333336,0,1,0.7525867707275989
101,200,Bakery,15,0,0.06451612903225806,0.035483870967741936,0.125,0.029310344827586213,0.029032258064516123,-0.06048387096774194,0.03520578420467185,0.4108254401013979,0.056402185223725275,0.475,0.55,0.5,0,0,0.147038654704148
102,300,Bakery,15,0,0.0,0.036451612903225815,0.0,0.036451612903225815,-0.036451612903225815,0.0,-0.036451612903225815,0.0,0.0,0.0,0.0,0.0,0,0,0.011914041676255111
103,400,Bakery,15,0,0.0,0.020322580645161296,0.0,0.020322580645161296,-0.020322580645161296,0.0,-0.020322580645161296,0.0,0.0,0.0,0.0,0.0,0,0,0.014204393037848123
104,500,Bakery,15,0,0.0,0.013870967741935485,0.0,0.013870967741935485,-0.013870967741935485,0.0,-0.013870967741935485,0.0,0.0,0.0,0.0,0.0,0,0,0.013461728696026423
105,12.5,Coin,16,0,0.16666666666666666,0.18,0.72,0.07200000000000001,-0.013333333333333336,-0.5533333333333333,0.09466666666666666,0.4482540387659985,0.06604761904761905,0.8200000000000001,0.86,0.38,0,0,0.12129502118046609
106,33,Coin,16,0,0.16666666666666666,0.1633333333333333,0.45,0.106,0.0033333333333333552,-0.2833333333333333,0.06066666666666666,0.2728049399128608,0.029809523809523814,0.54,0.66,0.66,0,0,0.09688214600102245
107,37.5,Coin,16,0,0.2,0.13333333333333333,0.35000000000000003,0.07916666666666668,0.06666666666666668,-0.15000000000000002,0.12083333333333332,0.2242378127074401,0.023809523809523808,0.5333333333333333,0.6,0.5166666666666667,0,0,0.27040485526022995
108,50,Coin,16,0,0.13333333333333333,0.22333333333333333,0.4625,0.18653846153846151,-0.09,-0.3291666666666667,-0.05320512820512818,0.3276790650010465,0.045714285714285714,0.6375,0.65,0.675,0,0,0.0949743071158701
109,62.5,Coin,16,0,0.03333333333333333,0.05666666666666668,0.35,0.04655172413793104,-0.023333333333333338,-0.31666666666666665,-0.013218390804597713,0.5500395256916996,0.04023809523809524,0.4,0.2,0.8,0,0,0.029465806194085876
110,87.5,Coin,16,1,0.2333333333333333,0.12500000000000006,0.2928571428571428,0.07391304347826089,0.10833333333333332,-0.05952380952380947,0.15942028985507245,0.23206703663538544,0.02095238095238095,0.3357142857142857,0.8142857142857143,0.5714285714285714,0,1,0.5538101616760439
111,100,Coin,16,0,0.06666666666666668,0.11833333333333332,0.7,0.07678571428571426,-0.05166666666666666,-0.6333333333333333,-0.010119047619047595,0.6198217907852797,0.08285714285714288,0.7250000000000001,0.9,0.25,0,0,0.05645778847089259
112,12.5,Coin,17,0,0.1,0.14,0.7333333333333334,0.07407407407407407,-0.040000000000000015,-0.6333333333333334,0.02592592592592594,0.6264680134680135,0.10253968253968256,0.5333333333333333,0.6666666666666666,0.4666666666666666,0,0,0.12117176255391338
113,33,Coin,17,0,0.2333333333333333,0.25999999999999995,0.5357142857142857,0.17608695652173914,-0.026666666666666616,-0.3023809523809524,0.057246376811594175,0.36855501435524346,0.04845804988662132,0.7000000000000001,0.5571428571428572,0.4857142857142858,0,0,0.1542798338519745
114,37.5,Coin,17,0,0.06666666666666668,0.07166666666666667,0.225,0.060714285714285714,-0.0050000000000000044,-0.15833333333333333,0.005952380952380952,0.20749303899761568,0.01908730158730159,0.3,0.45,0.7,0,0,0.07295359468403395
115,50,Coin,17,0,0.16666666666666666,0.17166666666666666,0.4900000000000001,0.10799999999999997,-0.0050000000000000044,-0.32333333333333336,0.05866666666666667,0.4383375605444572,0.05001587301587301,0.54,0.6199999999999999,0.6799999999999999,0,0,0.08759718585381696
116,62.5,Coin,17,0,0.03333333333333333,0.10166666666666667,0.2,0.09827586206896552,-0.06833333333333333,-0.16666666666666669,-0.0649425287356322,0.2728358597923816,0.022539682539682544,0.55,0.3,0.8,0,0,0.020735944778403143
117,87.5,Coin,17,1,0.4,0.205,0.44583333333333336,0.04444444444444445,0.19500000000000006,-0.04583333333333334,0.3555555555555556,0.21766232656519036,0.01801587301587302,0.4,0.8000000000000002,0.5166666666666667,0,1,0.8483694100733621
118,100,Coin,17,0,0.0,0.05,0.0,0.05,-0.05,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0,0,0.012008117767137668
119,12.5,Coin,18,0,0.054054054054054064,0.08243243243243242,0.625,0.051428571428571435,-0.02837837837837837,-0.5709459459459459,0.002625482625482629,0.4883468531468103,0.06417014504852342,0.8,0.9,0.3,0,0,0.061048960875017835
120,33,Coin,18,0,0.1891891891891892,0.1891891891891892,0.5714285714285714,0.1,0.0,-0.3822393822393822,0.0891891891891892,0.3940439269051715,0.05254714449695145,0.7000000000000001,0.7142857142857143,0.3428571428571429,0,0,0.11809371580839016
121,37.5,Coin,18,0,0.027027027027027032,0.11216216216216217,0.9,0.09027777777777776,-0.08513513513513513,-0.8729729729729729,-0.06325075075075072,0.8166807443938857,0.13786705624543466,0.9,0.7,0.4,0,0,0.05907289504769693
122,50,Coin,18,0,0.35135135135135137,0.2783783783783784,0.4846153846153846,0.16666666666666666,0.07297297297297299,-0.13326403326403324,0.1846846846846847,0.24458360037703897,0.022688856067234444,0.5115384615384615,0.6384615384615385,0.476923076923077,0,0,0.46419548858926596
123,62.5,Coin,18,0,0.08108108108108109,0.13918918918918918,0.3833333333333333,0.1176470588235294,-0.0581081081081081,-0.3022522522522522,-0.036565977742448325,0.3051838363146161,0.029366412744791126,0.38333333333333336,0.4333333333333333,0.6666666666666666,0,0,0.03526702777515995
124,87.5,Coin,18,1,0.2432432432432433,0.12432432432432428,0.31666666666666665,0.06250000000000001,0.11891891891891895,-0.0734234234234234,0.18074324324324328,0.1917381198766767,0.015297343675722056,0.3944444444444445,0.7222222222222222,0.5444444444444445,0,1,0.5308924330853815
125,100,Coin,18,0,0.054054054054054064,0.07432432432432433,0.575,0.045714285714285714,-0.020270270270270268,-0.5209459459459459,0.00833976833976835,0.5688495676653756,0.095241573619952,0.525,0.6,0.55,0,0,0.07881407884823752
126,1 second,CR_Conf,19,0,0.03333333333333333,0.12666666666666668,0.1,0.12758620689655176,-0.09333333333333337,-0.06666666666666668,-0.09425287356321843,0.20333333333333334,0.00888888888888889,0.1,0.1,,0,0,0.01577206922755559
127,1000 seconds,CR_Conf,19,0,0.06666666666666668,0.16666666666666666,0.35,0.15357142857142855,-0.09999999999999996,-0.2833333333333333,-0.08690476190476189,0.4628571428571429,0.03672222222222223,0.4,0.45,,0,0,0.030740577235573007
128,1 minute,CR_Conf,19,0,0.0,0.1833333333333333,0.0,0.1833333333333333,-0.1833333333333333,0.0,-0.1833333333333333,0.0,0.0,0.0,0.0,,0,0,0.009125776856971985
129,1000 minutes,CR_Conf,19,0,0.03333333333333333,0.22000000000000008,0.7,0.20344827586206898,-0.18666666666666676,-0.6666666666666666,-0.17011494252873569,0.7626334776334777,0.09055555555555556,0.3,0.9,,0,0,0.07817677374515339
